# Coding: utf-8
# File format version: 7
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2014-12-31T00:00:00.0
# Date end (ISO 8601): 2019-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 37.4312
# Longitude (positive East, ISO 19115): -6.2603
# Altitude (m): 73.00
# Elevation of CAMS cell (m): 230.54
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s
# noValue: nan
# File generated on: 2026-02-11
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#12. sza. Solar zenithal angle for the middle of the summarization (deg)
#13. summer/winter split. 1.0 means summer, 0.0 means winter
#14. tco3. Total column content of ozone (Dobson unit)
#15. tcwv. Total column content of water vapour (kg/m2)
#16. AOD BC. Partial aerosol optical depth at 550 nm for black carbon
#17. AOD DU. Partial aerosol optical depth at 550 nm for dust
#18. AOD SS. Partial aerosol optical depth at 550 nm for sea salt
#19. AOD OR. Partial aerosol optical depth at 550 nm for organic matter
#20. AOD SU. Partial aerosol optical depth at 550 nm for sulphate
#21. AOD NI. Partial aerosol optical depth at 550 nm for nitrate
#22. AOD AM. Partial aerosol optical depth at 550 nm for ammonium
#23. AOD SO. Partial aerosol optical depth at 550 nm for secondary organic
#24. alpha. Angstroem coefficient for aerosol. Obsolete (value is always nan)
#25. Snow_probability of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#26. fiso. MODIS-like BRDF parameter fiso
#27. fvol. MODIS-like BRDF parameter fvol
#28. fgeo. MODIS-like BRDF parameter fgeo
#29. albedo. Ground albedo
#30. Cloud optical depth (value from 0 to 500, value of the nearest acquisition time of the pixel) nan=no value
#31. Cloud coverage of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#32. Cloud type (value of the nearest acquisition time of the pixel) -1=no value 0=no clouds 5=low-level cloud 6=medium-level cloud 7=high-level cloud 8=thin cloud
#33. GHI no corr. Global irradiation without bias correction on horizontal plane at ground level (obsolete)
#34. BHI no corr. Beam irradiation without bias correction on horizontal plane at ground level (obsolete)
#35. DHI no corr. Diffuse irradiation without bias correction on horizontal plane at ground level (obsolete)
#36. BNI no corr. Beam irradiation without bias correction on mobile plane following the sun at normal incidence (obsolete)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability;sza;summer/winter split;tco3;tcwv;AOD BC;AOD DU;AOD SS;AOD OR;AOD SU;AOD NI;AOD AM;AOD SO;alpha;Snow probability;fiso;fvol;fgeo;albedo;Cloud optical depth;Cloud coverage;Cloud type;GHI no corr;BHI no corr;DHI no corr;BNI no corr
2014-12-31T00:11:00.0/2014-12-31T00:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.4314;5.3514;0.0013;0.0000;0.0027;0.0106;0.0060;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:12:00.0/2014-12-31T00:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.4001;5.3484;0.0013;0.0000;0.0027;0.0106;0.0060;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:13:00.0/2014-12-31T00:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.3688;5.3453;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:14:00.0/2014-12-31T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.3375;5.3422;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:15:00.0/2014-12-31T00:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.3063;5.3392;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:16:00.0/2014-12-31T00:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.2750;5.3361;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:17:00.0/2014-12-31T00:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.2437;5.3331;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:18:00.0/2014-12-31T00:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.2124;5.3300;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:19:00.0/2014-12-31T00:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.1811;5.3270;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:20:00.0/2014-12-31T00:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.1499;5.3239;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:21:00.0/2014-12-31T00:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.1186;5.3208;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:22:00.0/2014-12-31T00:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.0873;5.3178;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:23:00.0/2014-12-31T00:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.0560;5.3147;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:24:00.0/2014-12-31T00:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;308.0247;5.3117;0.0013;0.0000;0.0027;0.0106;0.0059;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:25:00.0/2014-12-31T00:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.9935;5.3086;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:26:00.0/2014-12-31T00:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.9622;5.3056;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:27:00.0/2014-12-31T00:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.9309;5.3025;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:28:00.0/2014-12-31T00:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.8996;5.2994;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:29:00.0/2014-12-31T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.8684;5.2964;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:30:00.0/2014-12-31T00:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.8371;5.2933;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:31:00.0/2014-12-31T00:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.8058;5.2903;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:32:00.0/2014-12-31T00:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.7745;5.2872;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:33:00.0/2014-12-31T00:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.7432;5.2842;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:34:00.0/2014-12-31T00:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.7120;5.2811;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:35:00.0/2014-12-31T00:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.6807;5.2780;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:36:00.0/2014-12-31T00:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.6494;5.2750;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:37:00.0/2014-12-31T00:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.6181;5.2719;0.0013;0.0000;0.0027;0.0105;0.0058;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:38:00.0/2014-12-31T00:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.5868;5.2689;0.0013;0.0000;0.0027;0.0105;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:39:00.0/2014-12-31T00:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.5556;5.2658;0.0013;0.0000;0.0027;0.0105;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:40:00.0/2014-12-31T00:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.5243;5.2628;0.0013;0.0000;0.0027;0.0105;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:41:00.0/2014-12-31T00:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.4930;5.2597;0.0013;0.0000;0.0027;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:42:00.0/2014-12-31T00:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.4617;5.2566;0.0013;0.0000;0.0027;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:43:00.0/2014-12-31T00:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.4304;5.2536;0.0013;0.0000;0.0027;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:44:00.0/2014-12-31T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.3992;5.2505;0.0013;0.0000;0.0027;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:45:00.0/2014-12-31T00:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.3679;5.2475;0.0013;0.0000;0.0027;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:46:00.0/2014-12-31T00:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.3366;5.2444;0.0013;0.0000;0.0026;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:47:00.0/2014-12-31T00:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.3053;5.2414;0.0013;0.0000;0.0026;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
2014-12-31T00:48:00.0/2014-12-31T00:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0072;307.2740;5.2383;0.0013;0.0000;0.0026;0.0104;0.0057;0.0000;0.0000;0.0000;nan;-1;0.1754;0.0602;0.0292;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000
